,Artist,Event_Name,url,Country,City,Date,Max_price,Min_price,Currency,Location
0,BTS,BTS Club Night,https://www.ticketweb.uk/event/bts-club-night-the-garage-tickets/12930545?REFERRAL_ID=tmfeed,Great Britain,London,2023-04-14,Unknown,Unknown,Unknown,"{'longitude': '-0.103855', 'latitude': '51.546708'}"
1,Lil Uzi Vert,Longitude 2023 - Sunday Ticket - Travis Scott & Lil Uzi Vert,https://www.ticketmaster.ie/longitude-2023-sunday-ticket-travis-scott-dublin-02-07-2023/event/18005E3A816020E4,Ireland,Dublin,2023-07-02,107.05,107.05,EUR,"{'longitude': '-6.26819372', 'latitude': '53.27812849'}"
2,Drake,Drake,https://www.ticketmaster.com/event/Z7r9jZ1Adqfea,United States Of America,Glendale,2023-07-06,Unknown,Unknown,Unknown,"{'longitude': '-112.2202', 'latitude': '33.5312'}"
4,Paul McCartney,Tony Kishman-Live and Let Die: The Music of Paul McCartney,https://www.ticketmaster.com/tony-kishmanlive-and-let-die-the-fort-mcdowell-arizona-02-18-2023/event/19005D76E6282DA2,United States Of America,Fort McDowell,2023-02-18,75.0,35.0,USD,"{'longitude': '-111.67075', 'latitude': '33.67495'}"
5,Taylor Swift,Taylor Swift Brunch,https://www.ticketweb.com/event/taylor-swift-brunch-six-string-grill-stage-tickets/12919525?REFERRAL_ID=tmfeed,United States Of America,Foxborough,2023-02-26,Unknown,Unknown,Unknown,"{'longitude': '-71.26802', 'latitude': '42.090924'}"
6,Michael Bublé,Michael Bublé,https://www.ticketmaster.co.uk/michael-buble-london-26-03-2023/event/35005D3DD22C3F14,Great Britain,London,2023-03-26,108.2,63.8,GBP,"{'longitude': '0.005519', 'latitude': '51.501581'}"
7,Billie Eilish,Billie Eilish Estacionamiento,https://www.ticketmaster.com.mx/billie-eilish-estacionamiento-mexico-29-03-2023/event/14005D548BCB0A5B,Mexico,México,2023-03-29,200.0,200.0,MXN,"{'longitude': '-99.095618', 'latitude': '19.405199'}"
8,Sam Smith,Sam Smith,https://www.axs.com/events/461439/sam-smith-gloria-the-tour-tickets?skin=gassouthdistrict,United States Of America,Duluth,2023-07-28,Unknown,Unknown,Unknown,"{'longitude': '-84.0907288', 'latitude': '33.9869191'}"
9,Justin Bieber,Justin Bieber,https://www.eticketing.co.uk/asmglobalaberdeen,Great Britain,Aberdeen,2023-02-11,Unknown,Unknown,Unknown,"{'longitude': '-2.190396', 'latitude': '57.185147'}"
10,Mac Miller,Mac Miller Night,https://www.ticketmaster.com/mac-miller-night-harrisburg-pennsylvania-03-04-2023/event/02005E319F012EF8,United States Of America,Harrisburg,2023-03-04,12.0,12.0,USD,"{'longitude': '-76.88828596', 'latitude': '40.2682602'}"
11,Eminem,SHADY - A Live Band Tribute to the Music of Eminem,https://www.ticketmaster.com/shady-a-live-band-tribute-to-mchenry-illinois-05-20-2023/event/21005E472B860ADD,United States Of America,McHenry,2023-05-20,15.0,15.0,USD,"{'longitude': '-88.2663', 'latitude': '42.34441'}"
13,Britney Spears,Britney Spears Themed Drag Brunch,https://www.ticketweb.com/event/britney-spears-themed-drag-brunch-tin-roof-lexington-tickets/12844485?REFERRAL_ID=tmfeed,United States Of America,Lexington,2023-02-19,Unknown,Unknown,Unknown,"{'longitude': '-84.501785', 'latitude': '38.043293'}"
14,Marshmello,Beyond Wonderland at the Gorge,https://on.fgtix.com/trk/wKlL,United States Of America,George,2023-06-17,Unknown,Unknown,Unknown,"{'longitude': '-119.982652', 'latitude': '47.0959472'}"
